NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
105	380.634	3.731	71.649	3.142	0.002	0.999	20000.0
106	352.778	3.427	63.06	2.681	0.002	1.0	20000.0
107	347.168	3.38	56.71	2.35	0.002	1.0	20000.0
108	384.491	3.753	64.678	2.731	0.002	0.999	20000.0
109	370.996	3.634	64.128	2.738	0.002	0.999	20000.0
110	436.709	4.259	96.826	4.152	0.002	0.999	20000.0
111	456.675	4.431	77.513	3.246	0.002	0.999	30000.0
112	402.871	3.94	64.421	2.752	0.002	0.999	20000.0
113	389.731	3.781	76.189	3.228	0.002	0.999	20000.0
114	332.992	3.242	58.355	2.461	0.001	0.999	20000.0
115	425.903	4.164	69.219	2.93	0.002	1.0	20000.0
116	342.599	3.353	65.492	2.803	0.002	0.999	40000.0
117	437.966	4.259	78.215	3.299	0.002	0.999	20000.0
118	346.882	3.362	60.031	2.543	0.002	0.999	20000.0
119	371.838	3.615	69.933	2.946	0.002	1.0	20000.0
120	376.731	3.68	62.932	2.652	0.002	1.0	30000.0
121	385.114	3.764	59.812	2.564	0.002	1.0	30000.0
122	333.7	3.253	58.221	2.432	0.002	0.999	20000.0
123	404.415	3.948	66.412	2.8	0.002	0.999	30000.0
124	430.724	4.204	85.748	3.659	0.002	0.999	20000.0
125	355.732	3.464	67.254	2.83	0.002	0.999	20000.0
126	377.27	3.658	71.727	3.036	0.002	0.999	30000.0
127	334.051	3.237	60.589	2.575	0.002	0.999	20000.0
128	369.501	3.585	65.208	2.76	0.002	1.0	20000.0
129	410.173	3.979	80.724	3.425	0.002	0.999	30000.0
130	363.057	3.537	66.096	2.792	0.002	0.999	20000.0
131	387.414	3.786	60.169	2.569	0.002	1.0	20000.0
132	369.273	3.579	67.374	2.848	0.002	0.999	20000.0
133	448.485	4.356	80.262	3.365	0.002	0.999	20000.0
134	360.908	3.512	68.607	2.943	0.002	1.0	30000.0
135	331.791	3.247	55.795	2.402	0.002	1.0	20000.0
136	434.848	4.221	86.874	3.679	0.002	0.999	40000.0
137	348.45	3.383	60.022	2.537	0.002	1.0	20000.0
