NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
487	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
488	0.0	0.0	0.0	0.0	0.0	1.0	40000.0
489	0.728	0.024	0.476	0.081	0.0	1.0	20000.0
490	0.399	0.013	0.275	0.046	0.0	1.0	40000.0
491	0.198	0.007	0.137	0.024	0.0	1.0	30000.0
492	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
493	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
494	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
495	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
496	0.148	0.005	0.105	0.018	0.0	1.0	30000.0
497	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
498	4.845	0.159	1.734	0.296	0.0	1.0	30000.0
499	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
500	1.702	0.056	0.896	0.155	0.0	1.0	30000.0
