NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
67	1126.835	1.886	152.473	2.22	0.0	0.998	20000.0
68	1140.541	1.903	154.866	2.242	0.0	0.998	20000.0
69	1421.552	2.374	190.325	2.762	0.001	0.998	20000.0
70	1211.884	2.024	156.98	2.278	0.0	0.998	20000.0
71	1143.146	1.907	143.917	2.078	0.0	0.999	20000.0
72	1193.586	2.001	171.279	2.493	0.0	0.999	20000.0
73	1178.427	1.966	167.213	2.424	0.001	0.998	20000.0
74	1174.521	1.96	156.674	2.265	0.0	0.998	20000.0
75	1294.065	2.164	171.905	2.493	0.0	0.998	30000.0
76	1115.481	1.87	148.436	2.16	0.0	0.999	40000.0
77	1171.988	1.959	150.425	2.184	0.0	0.999	20000.0
78	1356.465	2.267	189.268	2.748	0.001	0.998	20000.0
79	1060.185	1.77	143.69	2.085	0.0	0.999	20000.0
80	1159.627	1.938	153.34	2.227	0.0	0.999	20000.0
81	1107.11	1.848	156.062	2.261	0.0	0.998	20000.0
82	1379.83	2.307	175.159	2.544	0.0	0.998	20000.0
83	1460.914	2.442	189.921	2.756	0.001	0.998	30000.0
84	1130.268	1.886	154.338	2.239	0.0	0.998	20000.0
85	1208.471	2.018	161.653	2.34	0.0	0.998	20000.0
86	1187.942	1.982	162.017	2.344	0.0	0.998	20000.0
87	1284.09	2.145	172.193	2.493	0.0	0.998	20000.0
88	1399.241	2.343	191.431	2.788	0.001	0.998	20000.0
89	1318.77	2.209	169.399	2.47	0.0	0.998	20000.0
90	1383.764	2.317	185.572	2.7	0.001	0.998	20000.0
91	1437.111	2.417	211.686	3.092	0.001	0.997	20000.0
92	1314.591	2.197	178.466	2.592	0.0	0.998	20000.0
93	1297.216	2.172	167.565	2.435	0.0	0.998	20000.0
94	1327.66	2.218	175.084	2.54	0.0	0.998	20000.0
95	1244.755	2.084	165.146	2.397	0.0	0.998	20000.0
96	1403.288	2.347	187.294	2.725	0.001	0.998	20000.0
97	1250.385	2.089	164.86	2.394	0.0	0.998	20000.0
98	1359.004	2.276	184.097	2.678	0.0	0.998	20000.0
99	1311.573	2.194	171.751	2.492	0.0	0.998	20000.0
100	1299.751	2.17	168.252	2.437	0.0	0.998	20000.0
101	1171.939	1.962	147.961	2.152	0.0	0.999	20000.0
102	1231.312	2.057	160.557	2.332	0.0	0.998	20000.0
103	1272.642	2.126	160.573	2.328	0.0	0.998	20000.0
104	1335.177	2.233	176.245	2.558	0.001	0.998	20000.0
105	1298.011	2.179	172.816	2.525	0.001	0.998	30000.0
106	1199.843	2.003	160.697	2.327	0.0	0.998	20000.0
107	1318.873	2.203	165.76	2.406	0.0	0.998	20000.0
108	1068.215	1.782	149.517	2.165	0.0	0.999	20000.0
109	1255.165	2.098	159.218	2.312	0.0	0.998	20000.0
110	1083.442	1.81	150.615	2.181	0.0	0.999	20000.0
111	1293.275	2.167	164.579	2.4	0.0	0.999	30000.0
112	1026.885	1.714	139.424	2.022	0.0	0.999	20000.0
113	1267.154	2.115	174.005	2.518	0.0	0.998	20000.0
114	1146.651	1.935	158.702	2.326	0.0	0.998	20000.0
115	1170.068	1.955	150.46	2.182	0.0	0.999	30000.0
116	1210.611	2.023	158.22	2.296	0.0	0.999	30000.0
117	1373.643	2.293	183.794	2.665	0.001	0.998	30000.0
118	1347.782	2.254	173.765	2.53	0.0	0.999	40000.0
119	1309.969	2.189	181.892	2.638	0.0	0.998	20000.0
120	1192.827	1.992	153.531	2.226	0.0	0.998	20000.0
121	1135.299	1.896	157.747	2.292	0.0	0.998	20000.0
122	1303.421	2.176	163.704	2.368	0.001	0.998	20000.0
123	1378.178	2.307	182.071	2.652	0.0	0.998	30000.0
124	1224.427	2.046	161.83	2.348	0.0	0.998	30000.0
125	1161.522	1.943	160.736	2.336	0.0	0.999	20000.0
126	1472.487	2.468	189.034	2.754	0.001	0.998	20000.0
127	1194.694	1.995	158.27	2.297	0.0	0.998	20000.0
128	1242.254	2.08	153.836	2.237	0.0	0.998	20000.0
129	1164.45	1.948	153.803	2.233	0.0	0.998	20000.0
130	1131.59	1.891	152.647	2.214	0.0	0.999	20000.0
131	1479.217	2.479	190.423	2.773	0.001	0.998	20000.0
132	1388.107	2.322	178.164	2.583	0.001	0.998	20000.0
133	1274.304	2.129	164.614	2.387	0.0	0.998	20000.0
134	1363.438	2.277	186.199	2.695	0.001	0.998	20000.0
135	1128.413	1.882	148.958	2.157	0.0	0.999	20000.0
136	1285.147	2.144	161.275	2.337	0.0	0.998	20000.0
137	1136.607	1.897	156.499	2.265	0.0	0.998	20000.0
138	1194.104	1.994	161.769	2.345	0.0	0.998	20000.0
139	1328.911	2.225	179.035	2.604	0.0	0.998	30000.0
140	1414.222	2.366	187.15	2.725	0.001	0.998	20000.0
141	1154.786	1.929	163.737	2.376	0.0	0.998	20000.0
142	1381.534	2.312	177.726	2.58	0.0	0.998	20000.0
143	1278.342	2.134	172.306	2.495	0.0	0.998	20000.0
144	1339.379	2.237	183.854	2.667	0.001	0.998	20000.0
145	1085.357	1.813	145.284	2.106	0.0	0.999	20000.0
146	1243.229	2.077	170.15	2.468	0.0	0.998	20000.0
147	1209.954	2.021	151.72	2.203	0.0	0.998	20000.0
148	1214.997	2.027	168.121	2.428	0.0	0.998	20000.0
149	1149.73	1.918	154.566	2.238	0.0	0.999	30000.0
150	1290.042	2.152	177.379	2.567	0.001	0.998	20000.0
151	1062.917	1.775	145.427	2.111	0.0	0.999	20000.0
152	1149.341	1.92	160.172	2.321	0.0	0.998	20000.0
153	1325.046	2.234	178.713	2.619	0.0	0.998	20000.0
154	1316.223	2.211	182.551	2.661	0.0	0.998	20000.0
155	1298.735	2.171	162.84	2.364	0.0	0.999	20000.0
156	1076.485	1.802	162.958	2.363	0.0	0.998	20000.0
157	1234.244	2.07	166.478	2.427	0.0	0.998	20000.0
